date,indpro,indpro_ld,cpi,cpi_ld,wu_xia,ebp
8/1/1998,86.0816,,163.4,,,
9/1/1998,86.0023,-0.000921644,163.5,0.000611808,4.847670917,0.11
10/1/1998,86.591,0.006821844,163.9,0.002443495,4.733588585,0.23
11/1/1998,86.5115,-0.000918531,164.1,0.001219512,4.735287441,0.21
12/1/1998,86.8615,0.004037543,164.4,0.001826485,4.693058144,0.07
1/1/1999,87.2205,0.004124499,164.7,0.001823155,4.758663892,0.06
2/1/1999,87.726,0.005778926,164.7,0,4.846954577,-0.15
3/1/1999,87.9125,0.002123681,164.8,0.00060698,4.729021026,-0.15
4/1/1999,88.1082,0.002223603,165.9,0.00665258,4.74413017,-0.19
5/1/1999,88.6483,0.006111251,166,0.000602591,4.741674085,-0.18
6/1/1999,88.5903,-0.000654485,166,0,4.926389087,-0.12
7/1/1999,89.1098,0.005846946,166.7,0.004208001,4.934898554,-0.07
8/1/1999,89.5007,0.004377129,167.1,0.002396646,5.185065368,-0.01
9/1/1999,89.1304,-0.004145981,167.8,0.004180358,5.172663769,0.12
10/1/1999,90.2709,0.012714683,168.1,0.001786246,5.314920684,0.134393187
11/1/1999,90.7528,0.005324177,168.4,0.001783061,5.589182061,0.1
12/1/1999,91.4784,0.007963552,168.8,0.00237248,5.826367953,-0.13
1/1/2000,91.4092,-0.000756749,169.3,0.002957707,5.851752036,0.06
2/1/2000,91.7245,0.003443389,170,0.004126148,5.849661457,0.15
3/1/2000,92.083,0.003900825,171,0.005865119,6.063026298,0.41
4/1/2000,92.6659,0.006310207,170.9,-0.000584966,6.162800907,0.57
5/1/2000,92.9347,0.002896544,171.2,0.001753874,6.623019905,0.75
6/1/2000,93.0018,0.000721752,172.2,0.005824128,6.460700694,0.79
7/1/2000,92.8373,-0.001770349,172.7,0.002899393,6.40821255,0.87
8/1/2000,92.591,-0.002656554,172.7,0,6.389244609,1.02
9/1/2000,92.9827,0.00422151,173.6,0.005197817,6.520552315,1.13
10/1/2000,92.64,-0.003692441,173.9,0.001726619,6.646752099,1.52
11/1/2000,92.6604,0.000220183,174.2,0.001723643,6.43569011,1.6
12/1/2000,92.3457,-0.003402053,174.6,0.002293579,5.988954305,1.6
1/1/2001,91.8908,-0.004938228,175.6,0.005711038,5.042857607,1.14
2/1/2001,91.2851,-0.00661334,176,0.002275314,4.761966604,1.17
3/1/2001,91.0585,-0.002485419,176.1,0.00056802,4.295160606,1.1
4/1/2001,90.7384,-0.003521516,176.4,0.001702128,3.828809841,0.92
5/1/2001,90.2607,-0.005278492,177.3,0.00508907,3.227612753,0.78
6/1/2001,89.7811,-0.005327664,177.7,0.002253522,3.272158314,1.02
7/1/2001,89.2352,-0.006098905,177.4,-0.001689665,3.045688102,0.79
8/1/2001,89.157,-0.00087672,177.4,0,2.832883985,0.76
9/1/2001,88.6749,-0.005421988,178.1,0.00393812,2.172959627,1.23
10/1/2001,88.4051,-0.003047213,177.6,-0.00281136,1.574752388,1.05
11/1/2001,87.886,-0.00588914,177.5,-0.000563222,1.133218821,-0.06
12/1/2001,87.8518,-0.000389216,177.4,-0.000563539,0.674666983,0.42
1/1/2002,88.4634,0.006937603,177.7,0.001689665,0.953370119,0.58
2/1/2002,88.4578,-6.3305E-05,178,0.001686815,0.967124991,0.79
3/1/2002,89.1265,0.007531107,178.5,0.002805051,1.397097004,0.3
4/1/2002,89.5507,0.004748236,179.3,0.004471779,0.932365917,0.42
5/1/2002,89.9348,0.004280018,179.5,0.001114827,1.121632831,0.52
6/1/2002,90.6736,0.008181282,179.6,0.000556948,1.02043058,0.97
7/1/2002,90.6436,-0.000330912,180,0.002224695,1.146547181,1.59
8/1/2002,90.5505,-0.001027627,180.5,0.002773927,1.429802234,1.49
9/1/2002,90.6373,0.000958122,180.8,0.00166067,1.585054164,1.67
10/1/2002,90.3988,-0.002634835,181.2,0.002209946,1.443558185,1.48
11/1/2002,90.8947,0.005470701,181.5,0.00165426,1.143420559,1.06
12/1/2002,90.3906,-0.005561414,181.8,0.001651528,1.124579305,0.91
1/1/2003,91.1369,0.008222492,182.6,0.004390786,1.016596003,0.86
2/1/2003,91.2505,0.0012457,183.6,0.00546151,1.155716796,0.66
3/1/2003,91.0006,-0.002742372,183.9,0.001632653,1.058940857,0.15
