date,cpi
1/1/2021,99.8
2/1/2021,99.8
3/1/2021,99.9
4/1/2021,99.1
5/1/2021,99.4
6/1/2021,99.5
7/1/2021,99.7
8/1/2021,99.7
9/1/2021,100.1
10/1/2021,99.9
11/1/2021,100.1
12/1/2021,100.1
1/1/2022,100.3
2/1/2022,100.7
3/1/2022,101.1
4/1/2022,101.5
5/1/2022,101.8
6/1/2022,101.8
7/1/2022,102.3
8/1/2022,102.7
9/1/2022,103.1
10/1/2022,103.7
11/1/2022,103.9
12/1/2022,104.1
1/1/2023,104.7
2/1/2023,104
3/1/2023,104.4
4/1/2023,105.1
5/1/2023,105.1
6/1/2023,105.2
7/1/2023,105.7
8/1/2023,105.9
9/1/2023,106.2
10/1/2023,107.1
11/1/2023,106.9
12/1/2023,106.8
1/1/2024,106.9
2/1/2024,106.9
3/1/2024,107.2
4/1/2024,107.7
5/1/2024,108.1
6/1/2024,108.2
7/1/2024,108.6
8/1/2024,109.1
9/1/2024,108.9
10/1/2024,109.5
11/1/2024,110
12/1/2024,110.7
1/1/2025,111.2
2/1/2025,110.8
3/1/2025,111.1
4/1/2025,111.5
5/1/2025,111.8
6/1/2025,111.7
7/1/2025,111.9
8/1/2025,112.1
