date,url,year,date,
9/29/1998,https://www.federalreserve.gov/boarddocs/press/general/1998/19980929/default.htm,1998,0929,
10/15/1998,https://www.federalreserve.gov/boarddocs/press/general/1998/19981015/,1998,1015,
11/17/1998,https://www.federalreserve.gov/boarddocs/press/general/1998/19981117/default.htm,1998,1117,
5/18/1999,https://www.federalreserve.gov/boarddocs/press/general/1999/19990518/,1999,0518,
6/30/1999,https://www.federalreserve.gov/boarddocs/press/general/1999/19990630/default.htm,1999,0630,
8/24/1999,https://www.federalreserve.gov/boarddocs/press/general/1999/19990824/default.htm,1999,0824,
10/5/1999,https://www.federalreserve.gov/boarddocs/press/general/1999/19991005/default.htm,1999,1005,
11/16/1999,https://www.federalreserve.gov/boarddocs/press/general/1999/19991116/default.htm,1999,1116,
12/21/1999,https://www.federalreserve.gov/boarddocs/press/general/1999/19991221/default.htm,1999,1221,
2/2/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20000202/,2000,0202,
3/21/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20000321/,2000,0321,
5/16/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20000516/,2000,0516,
6/28/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20000628/,2000,0628,
8/22/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20000822/,2000,0822,
10/3/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20001003/,2000,1003,
11/15/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20001115/,2000,1115,
12/19/2000,https://www.federalreserve.gov/boarddocs/press/general/2000/20001219/,2000,1219,
1/3/2001,https://www.federalreserve.gov/boarddocs/press/general/2001/20010103/,2001,0103,
1/31/2001,https://www.federalreserve.gov/boarddocs/press/general/2001/20010131/,2001,0131,
3/20/2001,https://www.federalreserve.gov/boarddocs/press/general/2001/20010320/,2001,0320,
4/18/2001,https://www.federalreserve.gov/boarddocs/press/general/2001/20010418/,2001,0418,
